timestamp,equipment_id,vibration_rms,temperature_c,pressure_bar,failure
2024-01-01 00:00:00,EQT-001,5.609,66.3,2.962,0
2024-01-01 01:00:00,EQT-041,3.841,67.22,3.81,0
2024-01-01 02:00:00,EQT-036,2.875,62.41,2.772,0
2024-01-01 03:00:00,EQT-004,3.85,67.37,3.222,0
2024-01-01 04:00:00,EQT-055,4.293,62.39,3.066,1
2024-01-01 05:00:00,EQT-014,4.512,65.21,2.452,0
2024-01-01 06:00:00,EQT-016,4.414,64.96,3.792,0
2024-01-01 07:00:00,EQT-012,3.5,57.89,3.216,0
2024-01-01 08:00:00,EQT-021,4.582,79.91,2.657,1
2024-01-01 09:00:00,EQT-011,3.766,60.32,2.689,0
2024-01-01 10:00:00,EQT-021,3.529,61.52,2.051,0
2024-01-01 11:00:00,EQT-049,3.826,57.4,2.941,0
2024-01-01 12:00:00,EQT-028,4.806,70.67,2.783,1
2024-01-01 13:00:00,EQT-056,4.645,64.51,4.056,0
2024-01-01 14:00:00,EQT-027,2.134,55.33,4.151,0
2024-01-01 15:00:00,EQT-017,2.996,58.84,2.926,0
2024-01-01 16:00:00,EQT-048,3.584,59.21,2.76,0
2024-01-01 17:00:00,EQT-050,4.364,70.62,3.327,1
2024-01-01 18:00:00,EQT-052,5.442,73.13,3.362,1
2024-01-01 19:00:00,EQT-054,2.57,60.91,3.139,0
2024-01-01 20:00:00,EQT-002,2.119,67.84,3.051,0
2024-01-01 21:00:00,EQT-031,2.752,61.94,2.961,0
2024-01-01 22:00:00,EQT-017,4.077,66.57,2.626,1
2024-01-01 23:00:00,EQT-015,3.328,69.61,2.941,0
2024-01-02 00:00:00,EQT-015,4.811,66.46,2.396,0
2024-01-02 01:00:00,EQT-050,1.875,58.85,3.402,0
2024-01-02 02:00:00,EQT-048,4.189,67.73,2.822,0
2024-01-02 03:00:00,EQT-013,3.673,58.76,2.467,0
2024-01-02 04:00:00,EQT-025,5.158,59.04,3.027,0
2024-01-02 05:00:00,EQT-045,4.605,71.94,3.093,0
2024-01-02 06:00:00,EQT-009,3.241,62.81,3.327,0
2024-01-02 07:00:00,EQT-038,3.11,50.05,3.483,0
2024-01-02 08:00:00,EQT-027,4.66,66.42,2.445,0
2024-01-02 09:00:00,EQT-056,3.443,67.54,2.542,0
2024-01-02 10:00:00,EQT-045,2.878,59.28,3.077,0
2024-01-02 11:00:00,EQT-014,3.526,64.94,2.942,0
2024-01-02 12:00:00,EQT-051,3.978,64.93,3.522,0
2024-01-02 13:00:00,EQT-048,3.665,71.28,1.707,0
2024-01-02 14:00:00,EQT-013,3.512,65.37,3.071,0
2024-01-02 15:00:00,EQT-032,3.469,58.91,2.617,0
2024-01-02 16:00:00,EQT-048,3.059,59.47,2.723,0
2024-01-02 17:00:00,EQT-014,5.686,69.97,4.104,1
2024-01-02 18:00:00,EQT-015,3.01,57.16,2.726,0
2024-01-02 19:00:00,EQT-010,3.47,65.81,3.244,0
2024-01-02 20:00:00,EQT-001,2.631,68.97,2.602,0
2024-01-02 21:00:00,EQT-030,4.104,60.45,3.185,0
2024-01-02 22:00:00,EQT-001,4.764,67.55,2.248,0
2024-01-02 23:00:00,EQT-035,4.031,81.08,2.494,0
2024-01-03 00:00:00,EQT-025,3.696,60.28,4.093,0
2024-01-03 01:00:00,EQT-012,5.05,56.49,3.964,0
2024-01-03 02:00:00,EQT-022,4.589,68.1,2.571,0
2024-01-03 03:00:00,EQT-001,4.163,72.22,1.222,0
2024-01-03 04:00:00,EQT-009,5.861,58.87,3.242,0
2024-01-03 05:00:00,EQT-029,2.748,73.82,2.378,1
2024-01-03 06:00:00,EQT-005,5.083,68.44,2.19,0
2024-01-03 07:00:00,EQT-044,4.836,63.65,3.743,0
2024-01-03 08:00:00,EQT-016,2.982,61.99,3.135,0
2024-01-03 09:00:00,EQT-056,5.22,63.17,2.297,0
2024-01-03 10:00:00,EQT-011,4.977,60.7,3.255,0
2024-01-03 11:00:00,EQT-038,3.649,61.73,3.297,0
2024-01-03 12:00:00,EQT-031,3.276,63.79,2.958,0
2024-01-03 13:00:00,EQT-056,3.143,59.63,3.244,0
2024-01-03 14:00:00,EQT-038,5.348,72.66,3.705,1
2024-01-03 15:00:00,EQT-052,4.183,75.16,3.365,0
2024-01-03 16:00:00,EQT-028,2.891,61.51,2.565,0
2024-01-03 17:00:00,EQT-014,5.598,64.89,2.875,0
2024-01-03 18:00:00,EQT-012,5.023,64.35,1.798,0
2024-01-03 19:00:00,EQT-052,2.689,63.27,1.813,0
2024-01-03 20:00:00,EQT-013,4.32,48.7,3.027,0
2024-01-03 21:00:00,EQT-044,4.447,80.51,2.245,1
2024-01-03 22:00:00,EQT-032,4.506,70.16,3.348,1
2024-01-03 23:00:00,EQT-017,5.079,66.27,3.179,0
2024-01-04 00:00:00,EQT-025,4.484,63.27,3.341,1
2024-01-04 01:00:00,EQT-048,5.509,55.53,2.432,0
2024-01-04 02:00:00,EQT-028,3.469,72.59,2.364,0
2024-01-04 03:00:00,EQT-052,3.459,76.96,3.205,1
2024-01-04 04:00:00,EQT-057,4.144,70.3,1.594,0
2024-01-04 05:00:00,EQT-018,1.083,72.84,2.98,1
2024-01-04 06:00:00,EQT-032,3.848,71.27,3.485,1
2024-01-04 07:00:00,EQT-032,5.449,64.92,2.824,1
2024-01-04 08:00:00,EQT-033,3.25,61.87,2.632,0
2024-01-04 09:00:00,EQT-005,2.863,83.16,3.248,1
2024-01-04 10:00:00,EQT-023,4.574,68.98,2.997,1
2024-01-04 11:00:00,EQT-035,6.643,55.33,2.589,0
2024-01-04 12:00:00,EQT-056,3.151,64.9,2.392,0
2024-01-04 13:00:00,EQT-015,4.309,58.65,3.095,0
2024-01-04 14:00:00,EQT-039,3.039,71.33,4.177,0
2024-01-04 15:00:00,EQT-046,2.706,50.08,4.048,0
2024-01-04 16:00:00,EQT-056,3.864,58.1,2.73,0
